Record_ID,Collection_Date,Zone,Area,Waste_Type,Waste_Collected_KG,Recyclable_KG,Collection_Status,Collection_Delay_Min,Distance_KM,Workers_Count,Disposal_Method,Disposal_Cost,Complaint_Count,Recycling_Rate_Pct,Cost_per_KG,Month,Year
WM100000,2023-11-17,South,Sunset Colony,Glass,33.4,23.9,Completed,0,6.9,4,Recycling,114.71,1,71.56,3.43,2023-11,2023
WM100001,2024-02-28,Central,Downtown Core,Glass,34.0,25.6,Completed,0,2.6,4,Recycling,102.02,2,75.29,3.0,2024-02,2024
WM100002,2023-01-25,West,West End,Glass,46.4,29.7,Delayed,36,9.1,4,Landfill,93.35,1,64.01,2.01,2023-01,2023
WM100003,2024-07-22,East,Maple Court,Paper,24.4,14.8,Completed,0,6.1,3,Recycling,77.75,0,60.66,3.19,2024-07,2024
WM100004,2024-02-20,North,Pine Valley,Organic,50.3,1.0,Delayed,29,5.3,2,Composting,84.32,3,1.99,1.68,2024-02,2024
WM100005,2023-10-29,North,Pine Valley,Mixed Waste,34.4,2.7,Completed,0,11.1,3,Landfill,65.6,0,7.85,1.91,2023-10,2023
WM100006,2023-04-10,North,Rosewood Park,Paper,23.1,12.6,Delayed,36,3.9,4,Recycling,83.09,0,54.55,3.6,2023-04,2023
WM100007,2024-01-23,Central,City Center,Mixed Waste,62.0,9.7,Completed,0,4.8,3,Landfill,98.76,0,15.65,1.59,2024-01,2024
WM100008,2023-04-29,East,East Ridge,Plastic,35.8,18.8,Completed,0,5.1,3,Recycling,108.04,0,52.51,3.02,2023-04,2023
WM100009,2024-10-24,West,Westfield,Organic,98.5,1.0,Completed,0,3.8,5,Composting,231.04,0,1.02,2.35,2024-10,2024
WM100010,2024-08-14,North,Lakeview North,Plastic,41.7,19.4,Completed,0,4.9,3,Recycling,119.35,0,46.52,2.86,2024-08,2024
WM100011,2023-11-27,Central,Market District,Plastic,28.1,16.8,Completed,0,11.2,3,Landfill,46.23,0,59.79,1.65,2023-11,2023
WM100012,2024-10-23,Central,Market District,Organic,38.1,4.0,Completed,0,17.9,3,Landfill,51.1,0,10.5,1.34,2024-10,2024
WM100013,2023-12-25,North,Northgate,Paper,26.1,13.7,Completed,0,5.8,2,Recycling,97.68,0,52.49,3.74,2023-12,2023
WM100014,2023-05-06,North,Silver Hills,Glass,27.1,16.2,Completed,0,1.5,2,Recycling,78.5,0,59.78,2.9,2023-05,2023
WM100015,2023-10-16,North,Silver Hills,Organic,28.3,4.5,Completed,0,6.3,2,Composting,59.14,0,15.9,2.09,2023-10,2023
WM100016,2024-07-06,South,Sunset Colony,Organic,53.5,0.5,Delayed,37,2.8,2,Composting,115.91,0,0.93,2.17,2024-07,2024
WM100017,2024-12-02,East,East Ridge,Paper,29.8,20.9,Completed,0,11.3,2,Recycling,99.66,0,70.13,3.34,2024-12,2024
WM100018,2024-03-15,East,Riverside East,Plastic,34.3,19.4,Completed,0,9.9,2,Recycling,133.85,0,56.56,3.9,2024-03,2024
WM100019,2024-07-28,South,Sunset Colony,Mixed Waste,29.5,4.4,Completed,0,2.6,2,Landfill,51.15,0,14.92,1.73,2024-07,2024
WM100020,2024-12-17,West,West End,Organic,85.7,9.6,Completed,0,2.5,4,Composting,148.95,0,11.2,1.74,2024-12,2024
WM100021,2023-12-07,North,Lakeview North,Mixed Waste,55.0,5.7,Completed,0,6.9,3,Waste-to-Energy,192.65,0,10.36,3.5,2023-12,2023
WM100022,2023-07-23,South,Harbor South,Mixed Waste,41.9,3.5,Completed,0,6.5,3,Waste-to-Energy,159.13,0,8.35,3.8,2023-07,2023
WM100023,2023-06-28,South,Southport,Mixed Waste,34.0,5.0,Completed,0,4.0,4,Waste-to-Energy,115.88,1,14.71,3.41,2023-06,2023
WM100024,2023-12-12,East,East Ridge,Organic,100.6,7.9,Completed,0,4.5,5,Composting,222.28,0,7.85,2.21,2023-12,2023
WM100025,2023-04-15,Central,City Center,Organic,83.6,6.5,Completed,0,5.8,5,Landfill,156.3,0,7.78,1.87,2023-04,2023
WM100026,2023-11-09,North,Silver Hills,Organic,30.5,0.4,Completed,0,7.8,4,Composting,82.16,0,1.31,2.69,2023-11,2023
WM100027,2023-03-27,East,Eastwood,Mixed Waste,48.7,5.7,Completed,0,4.0,3,Waste-to-Energy,232.49,0,11.7,4.77,2023-03,2023
WM100028,2024-03-16,East,Maple Court,Metal,13.8,11.2,Completed,0,15.9,3,Recycling,50.87,0,81.16,3.69,2024-03,2024
WM100029,2024-04-24,North,Lakeview North,Organic,109.4,1.1,Completed,0,13.1,6,Composting,218.82,0,1.01,2.0,2024-04,2024
WM100030,2023-11-24,East,Riverside East,Organic,52.0,0.5,Completed,0,8.6,4,Landfill,102.68,0,0.96,1.97,2023-11,2023
WM100031,2023-09-08,North,Silver Hills,Plastic,19.6,8.9,Completed,0,4.1,4,Waste-to-Energy,83.77,2,45.41,4.27,2023-09,2023
WM100032,2024-04-26,North,Silver Hills,Organic,68.4,2.7,Delayed,115,15.0,3,Composting,147.23,1,3.95,2.15,2024-04,2024
WM100033,2023-01-04,Central,Market District,Plastic,21.7,13.1,Completed,0,2.3,3,Waste-to-Energy,79.02,0,60.37,3.64,2023-01,2023
WM100034,2023-07-03,Central,Central Square,Metal,20.8,15.6,Delayed,79,4.3,2,Recycling,77.21,2,75.0,3.71,2023-07,2023
WM100035,2024-11-23,Central,Central Square,Plastic,26.4,15.6,Completed,0,11.3,3,Recycling,101.49,0,59.09,3.84,2024-11,2024
WM100036,2023-10-27,South,Palm Residency,Glass,44.6,28.4,Completed,0,4.7,5,Recycling,163.49,0,63.68,3.67,2023-10,2023
WM100037,2024-06-11,North,Northgate,Organic,82.1,8.1,Completed,0,5.8,5,Landfill,107.48,0,9.87,1.31,2024-06,2024
WM100038,2024-08-28,West,Golden West,Organic,80.7,13.5,Completed,0,11.0,5,Composting,146.78,0,16.73,1.82,2024-08,2024
WM100039,2023-06-05,East,Riverside East,Paper,35.2,21.4,Completed,0,8.3,4,Recycling,93.17,0,60.8,2.65,2023-06,2023
WM100040,2024-03-09,North,Rosewood Park,Mixed Waste,44.1,9.3,Completed,0,7.6,3,Waste-to-Energy,178.2,1,21.09,4.04,2024-03,2024
